t_s,s_m,v_kmh,slope_rad
14430.0,79405.42638350629,40.132287546824436,-0.01911476566392165
14431.0,79416.58413783976,40.12719554828961,-0.017254754508303504
14432.0,79427.74189217323,40.28498375706128,-0.015437237084257325
14433.0,79438.8996465067,39.974499338052766,-0.013813672071701727
14434.0,79450.05740084017,40.382119587019005,-0.012384185322141368
14435.0,79461.21515517363,40.0300597183319,-0.011148871627303717
14436.0,79472.3729095071,40.22942337678215,-0.010107595402869016
14437.0,79483.53066384057,40.182755928568746,-0.009260371901919268
14438.0,79494.68841817405,40.076727166545304,-0.008607211985542417
14439.0,79505.84617250752,40.3354521388056,-0.008148123077991664
14440.0,79517.00392684097,39.92783188983936,-0.007883116026080328
14441.0,79528.16168117445,40.33165120527469,-0.007812427102476392
14442.0,79539.31943550792,40.08052810007621,-0.00793581711020022
14443.0,79550.47718984139,40.17895499503784,-0.00822204382556347
14444.0,79561.57565776474,38.650701827676855,-0.008615100460730166
14445.0,79571.5613900124,33.25070182768217,-0.009060128760412227
14446.0,79580.04925568751,27.85070182768796,-0.009506366777589929
14447.0,79587.03547757618,22.45070182769195,-0.009920639933888259
14448.0,79592.51413234338,17.050701827688886,-0.010275250771280527
14449.0,79596.4908311983,11.65070182768346,-0.010548895826239243
14450.0,79598.99406882528,6.250701827688334,-0.010728082086872717
14451.0,79600.0,0.0,-0.010801660282364551
14452.0,79600.0,0.0,-0.010801660282364551
14453.0,79600.0,0.0,-0.010801660282364551
14454.0,79600.0,0.0,-0.010801660282364551
14455.0,79600.0,0.0,-0.010801660282364551
14456.0,79600.0,0.0,-0.010801660282364551
14457.0,79600.0,0.0,-0.010801660282364551
14458.0,79600.0,0.0,-0.010801660282364551
14459.0,79600.0,0.0,-0.010801660282364551
14460.0,79600.0,0.0,-0.010801660282364551
14461.0,79600.0,0.0,-0.010801660282364551
14462.0,79600.0,0.0,-0.010801660282364551
14463.0,79600.0,0.0,-0.010801660282364551
14464.0,79600.0,0.0,-0.010801660282364551
14465.0,79600.0,0.0,-0.010801660282364551
14466.0,79600.0,0.0,-0.010801660282364551
14467.0,79600.0,0.0,-0.010801660282364551
14468.0,79600.0,0.0,-0.010801660282364551
14469.0,79600.0,0.0,-0.010801660282364551
14470.0,79600.0,0.0,-0.010801660282364551
14471.0,79600.0,0.0,-0.010801660282364551
14472.0,79600.0,0.0,-0.010801660282364551
14473.0,79600.0,0.0,-0.010801660282364551
14474.0,79600.0,0.0,-0.010801660282364551
14475.0,79600.0,0.0,-0.010801660282364551
14476.0,79600.0,0.0,-0.010801660282364551
14477.0,79600.0,0.0,-0.010801660282364551
14478.0,79600.0,0.0,-0.010801660282364551
14479.0,79600.0,0.0,-0.010801660282364551
14480.0,79600.0,0.0,-0.010801660282364551
14481.0,79600.0,0.0,-0.010801660282364551
14482.0,79601.15224376536,0.9492981723103527,-0.010887078468792506
14483.0,79602.04410567594,6.349298172306906,-0.010953904057811905
14484.0,79604.56818146749,11.749298172302218,-0.011146964823460715
14485.0,79608.5724275346,17.149298172307716,-0.011464443715403283
14486.0,79614.07930654206,22.54929817231024,-0.01192371285878133
14487.0,79621.09267342801,27.94929817230632,-0.012546822230817939
14488.0,79629.60743368245,33.34929817230037,-0.013360752161108769
14489.0,79639.62056477371,38.749298172294885,-0.014398319515062773
14490.0,79650.7265349348,40.277551339657386,-0.015650858725159904
14491.0,79661.88428926827,39.981931755456664,-0.017016956931899654
14492.0,79673.04204360174,40.38955200442291,-0.018491045554635318
14493.0,79684.19979793522,40.022627300927994,-0.020073165029341408
14494.0,79695.35755226867,40.236855794186056,-0.021763187267033017
14495.0,79706.51530660214,40.17532351116485,-0.023524783935251363
14496.0,79717.67306093562,40.0841595839492,-0.024861424985981866
14497.0,79728.83081526909,40.328019721401695,-0.02560780414122853
14498.0,79739.98856960256,39.931463373712354,-0.025763986502078434
14499.0,79751.14632393602,40.339083622678594,-0.025329292311896123
14500.0,79762.30407826949,40.07309568267231,-0.024304322430807598
14501.0,79773.46183260296,40.18638741244174,-0.022689044191038725
14502.0,79784.61958693643,40.22579189290916,-0.02048333330882016
14503.0,79795.7773412699,40.03369120220489,-0.017687044929710734
14504.0,79806.93509560336,40.37848810314601,-0.014300036651316395
14505.0,79818.09284993683,39.97086785417977,-0.010321756958812175
14506.0,79829.2506042703,40.28861524093428,-0.005752294958207184
14507.0,79840.40835860377,40.12356406441662,-0.0005920242688242929
14508.0,79851.56611293723,40.13591903069743,0.005158832921611272
14509.0,79862.7238672707,40.276260274653474,0.011119568071914498
14510.0,79873.88162160417,39.983222820460576,0.016175538606116948
14511.0,79885.03937593765,40.390843069426815,0.020248404631968663
14512.0,79896.19713027112,40.02133623592409,0.02333783314716328
14513.0,79907.35488460457,40.23814685918997,0.025445087636210364
14514.0,79918.51263893805,40.174032446160936,0.026570445999136855
14515.0,79929.67039327152,40.08545064895311,0.026714074475775246
14516.0,79940.82814760499,40.32672865639779,0.025875995211716754
14517.0,79951.98590193846,39.93275443871626,0.024056082107174772
14518.0,79963.14365627192,40.340374687682505,0.021252951111874356
14519.0,79974.30141060539,40.0718046176684,0.01746730211144826
14520.0,79985.45916493886,40.18767847744565,0.012698934014665195
14521.0,79996.61691927233,40.22450082790525,0.006947653658818919
14522.0,80007.77467360579,40.0349822672088,0.00021525447894440248
14523.0,80018.93242793926,40.3771970381421,-0.005896814948755418
14524.0,80030.09018227273,39.96957678917586,-0.00966065554105372
14525.0,80041.2479366062,40.28990630593819,-0.011071184991807452
14526.0,80052.40569093967,40.122272999412715,-0.010129857348271081
14527.0,80063.56344527313,40.137210095701334,-0.00683654911886172
14528.0,80074.7211996066,40.27496920964956,-0.0011909925698601026
14529.0,80085.87895394008,39.98451388546449,0.006419883368231016
14530.0,80097.03670827355,40.39213413443073,0.013047498204864923
14531.0,80108.19446260702,40.02004517092018,0.018053221525237806
14532.0,80119.35221694048,40.23943792419387,0.02143909557181396
14533.0,80130.50997127395,40.172741381157024,0.023205665435048616
14534.0,80141.66772560742,40.086741713957025,0.02335328907504293
14535.0,80152.82547994089,40.32543759139388,0.021882902833922288
14536.0,80163.98323427435,39.93404550372017,0.01958657062160113
14537.0,80175.14098860782,40.34166575268641,0.017304493472090697
14538.0,80186.29874294129,40.07051355266449,0.015039115915750653
14539.0,80197.45649727476,40.18896954244956,0.012790462636271429
14540.0,80208.61425160823,40.22320976290134,0.010558559516261298
14541.0,80219.77200594169,40.03627333221271,0.008343431409056926
14542.0,80230.92976027516,40.375905973138195,0.00614510215622616
14543.0,80242.08751460863,39.968285724171956,0.003963606446967608
14544.0,80253.2452689421,40.2911973709421,0.0017989638534401577
14545.0,80264.40302327558,40.1209819344088,-0.0003488142118461861
14546.0,80275.56077760903,40.138501160705246,-0.0024797077865477985
14547.0,80286.7185319425,40.27367814464566,-0.004593697834224444
14548.0,80297.87628627598,39.98580495046839,-0.006630811019250631
14549.0,80309.03404060945,40.39342519943464,-0.008272842924193701
14550.0,80320.1917949429,40.018754105916265,-0.009470757331584543
14551.0,80331.34954927638,40.240728989197784,-0.010225019378048926
14552.0,80342.50730360985,40.17145031615312,-0.010535647519233127
14553.0,80353.66505794332,40.08803277896093,-0.010402650088491672
14554.0,80364.49946133229,36.62390619528069,-0.009848795576275023
14555.0,80373.92389085182,31.22390619528534,-0.009027125290196739
14556.0,80381.84602625204,25.823906195288455,-0.008091144699103154
14557.0,80388.26653755752,20.423906195295448,-0.007168424136571056
14558.0,80393.18756129792,15.023906195292003,-0.006361892908725737
14559.0,80396.5934362153,9.623906195287818,-0.005752927102351472
14560.0,80398.0,0.0,-0.005489865963796779
14561.0,80398.0,0.0,-0.005489865963796779
14562.0,80398.0,0.0,-0.005489865963796779
14563.0,80398.0,0.0,-0.005489865963796779
14564.0,80398.0,0.0,-0.005489865963796779
14565.0,80398.0,0.0,-0.005489865963796779
14566.0,80398.0,0.0,-0.005489865963796779
14567.0,80398.0,0.0,-0.005489865963796779
14568.0,80398.0,0.0,-0.005489865963796779
14569.0,80398.0,0.0,-0.005489865963796779
14570.0,80398.0,0.0,-0.005489865963796779
14571.0,80398.0,0.0,-0.005489865963796779
14572.0,80398.0,0.0,-0.005489865963796779
14573.0,80398.0,0.0,-0.005489865963796779
14574.0,80398.0,0.0,-0.005489865963796779
14575.0,80398.0,0.0,-0.005489865963796779
14576.0,80398.0,0.0,-0.005489865963796779
14577.0,80398.0,0.0,-0.005489865963796779
14578.0,80398.0,0.0,-0.005489865963796779
14579.0,80398.0,0.0,-0.005489865963796779
14580.0,80398.0,0.0,-0.005489865963796779
14581.0,80398.0,0.0,-0.005489865963796779
14582.0,80398.0,0.0,-0.005489865963796779
14583.0,80398.0,0.0,-0.005489865963796779
14584.0,80398.0,0.0,-0.005489865963796779
14585.0,80398.0,0.0,-0.005489865963796779
14586.0,80398.0,0.0,-0.005489865963796779
14587.0,80398.0,0.0,-0.005489865963796779
14588.0,80398.0,0.0,-0.005489865963796779
14589.0,80398.0,0.0,-0.005489865963796779
14590.0,80398.0,0.0,-0.005489865963796779
14591.0,80398.0,0.0,-0.005489865963796779
14592.0,80398.0,0.0,-0.005489865963796779
14593.0,80398.0,0.0,-0.005489865963796779
14594.0,80398.0,0.0,-0.005489865963796779
14595.0,80398.0,0.0,-0.005489865963796779
14596.0,80398.0,0.0,-0.005489865963796779
14597.0,80398.0,0.0,-0.005489865963796779
14598.0,80399.32259072809,2.011476711955217,-0.005235282318050346
14599.0,80400.45535962365,7.411476711951576,-0.005012560797170575
14600.0,80403.23146525944,12.811476711948787,-0.0044476436535654225
14601.0,80407.53761303794,18.211476711954326,-0.003516696014604566
14602.0,80413.3429250138,23.611476711952065,-0.0021572280635553448
14603.0,80420.65042664931,29.01147671194924,-0.00027513810908387406
14604.0,80429.4585612063,34.41147671194,0.0022461841567896373
14605.0,80439.76637475054,39.81147671194165,0.005191263187906056
14606.0,80450.92126219474,40.37179317114337,0.007916669455792877
14607.0,80462.07901652821,39.964172922177134,0.010159069459341405
14608.0,80473.23677086168,40.295310172936915,0.011917733515199124
14609.0,80484.39452519515,40.11686913241399,0.013193011635960403
14610.0,80495.55227952861,40.14261396270006,0.0139849451946034
14611.0,80506.71003386208,40.269565342650836,0.014293563836645179
14612.0,80517.86778819555,39.989917752463214,0.014118879941541679
14613.0,80529.02554252902,40.39753800142945,0.013460787277534077
14614.0,80540.1832968625,40.01464130392145,0.012318846321585496
14615.0,80551.34105119595,40.2448417911926,0.010693531538526792
14616.0,80562.49880552942,40.1673375141583,0.008584798438568065
14617.0,80573.6565598629,40.09214558095575,0.005992608322558797
14618.0,80584.81431419637,40.32003372439515,0.0029789148581661263
14619.0,80595.97206852982,39.9394493707189,0.0002833697665971432
14620.0,80607.1298228633,40.347069619685136,-0.00186881146699513
14621.0,80618.28757719677,40.06510968566576,-0.0034780568710031175
14622.0,80629.44533153024,40.19437340944829,-0.004544492512487077
14623.0,80640.60308586371,40.217805895902615,-0.005068128946966728
14624.0,80651.76084019717,40.041677199211435,-0.0050489736155794945
14625.0,80662.91859453064,40.37050210613947,-0.004487026223301431
14626.0,80674.07634886411,39.96288185717323,-0.0033819459499534943
14627.0,80685.23410319758,40.29660123794083,-0.0017337002492875558
14628.0,80696.39185753105,40.11557806741008,0.0004573591786881705
14629.0,80707.54961186451,40.14390502770397,0.0031912138972493955
14630.0,80718.70736619798,40.26827427764693,0.0064678043947342945
14631.0,80729.86512053145,39.99120881746712,0.010287005968960684
14632.0,80741.02287486492,40.398829066433365,0.014648699471885955
14633.0,80752.18062919838,40.01335023891754,0.018909511505536016
14634.0,80763.33838353185,40.24613285619651,0.0186987581939921
14635.0,80774.49613786532,40.16604644915439,0.013166301225657507
14636.0,80785.6538921988,40.093436645959656,0.0023101381489670485
14637.0,80796.74585299463,38.565183478599984,-0.013758711394960472
14638.0,80806.70782063034,33.165183478605165,-0.03266642091141249
14639.0,80815.17037343382,27.765183478610222,-0.04978680012875344
14640.0,80822.13243794777,22.365183478614597,-0.03500583466867946
14641.0,80827.58921076427,16.96518347861133,-0.023897924393463457
14642.0,80831.54201631852,11.565183478605968,-0.016718285779112
14643.0,80834.01582714054,6.136694625632776,-0.012591566995389927
14644.0,80835.0,0.0,-0.011031336932350554
14645.0,80835.0,0.0,-0.011031336932350554
14646.0,80835.0,0.0,-0.011031336932350554
14647.0,80835.0,0.0,-0.011031336932350554
14648.0,80835.0,0.0,-0.011031336932350554
14649.0,80835.0,0.0,-0.011031336932350554
14650.0,80835.0,0.0,-0.011031336932350554
14651.0,80835.0,0.0,-0.011031336932350554
14652.0,80835.0,0.0,-0.011031336932350554
14653.0,80835.0,0.0,-0.011031336932350554
14654.0,80835.0,0.0,-0.011031336932350554
14655.0,80835.0,0.0,-0.011031336932350554
14656.0,80835.0,0.0,-0.011031336932350554
14657.0,80835.0,0.0,-0.011031336932350554
14658.0,80835.0,0.0,-0.011031336932350554
14659.0,80835.0,0.0,-0.011031336932350554
14660.0,80835.0,0.0,-0.011031336932350554
14661.0,80835.0,0.0,-0.011031336932350554
14662.0,80835.0,0.0,-0.011031336932350554
14663.0,80835.0,0.0,-0.011031336932350554
14664.0,80835.0,0.0,-0.011031336932350554
14665.0,80835.0,0.0,-0.011031336932350554
14666.0,80835.0,0.0,-0.011031336932350554
14667.0,80835.0,0.0,-0.011031336932350554
14668.0,80835.0,0.0,-0.011031336932350554
14669.0,80835.0,0.0,-0.011031336932350554
14670.0,80835.0,0.0,-0.011031336932350554
14671.0,80835.0,0.0,-0.011031336932350554
14672.0,80835.0,0.0,-0.011031336932350554
14673.0,80835.0,0.0,-0.011031336932350554
14674.0,80835.0,0.0,-0.011031336932350554
14675.0,80835.0,0.0,-0.011031336932350554
14676.0,80835.0,0.0,-0.011031336932350554
14677.0,80835.0,0.0,-0.011031336932350554
14678.0,80835.0,0.0,-0.011031336932350554
14679.0,80835.0,0.0,-0.011031336932350554
14680.0,80835.0,0.0,-0.011031336932350554
14681.0,80835.0,0.0,-0.011031336932350554
14682.0,80835.0,0.0,-0.011031336932350554
14683.0,80835.0,0.0,-0.011031336932350554
14684.0,80835.0,0.0,-0.011031336932350554
14685.0,80836.165958777,1.034816521387691,-0.009245353162888032
14686.0,80837.07721664303,6.434816521384228,-0.007889778810744364
14687.0,80839.6193665877,11.834816521379707,-0.0043222437133589
14688.0,80843.6475059555,17.234816521385273,0.0007160542100296414
14689.0,80849.1800735943,22.634816521387208,0.0063963497252954235
14690.0,80856.21685890357,28.034816521383156,0.011542160808982719
14691.0,80864.75386430038,33.43481652137738,0.014665229231523177
14692.0,80874.7907600036,38.83481652137175,0.01396381515476815
14693.0,80885.90323729222,40.363069688735564,0.007673825793519502
14694.0,80897.06099162568,39.955449439769325,-0.0019927172948611483
14695.0,80908.21874595915,40.304033655344725,-0.010154353585411816
14696.0,80919.37650029262,40.10814565000617,-0.016666768067942813
14697.0,80930.5342546261,40.15133744510788,-0.021530219307803015
14698.0,80941.69200895955,40.260841860243026,-0.024745355832226625
14699.0,80952.84976329302,39.99864123487102,-0.026312820218386254
14700.0,80964.0075176265,40.40626148383726,-0.02623288815507816
14701.0,80975.16527195997,40.00591782151364,-0.024503650643196106
14702.0,80986.32302629344,40.253565273600415,-0.021126686506371676
14703.0,80997.4807806269,40.15861403175049,-0.016101338729853067
14704.0,81008.63853496037,40.10086906336356,-0.009426977445902185
14705.0,81019.79628929384,40.31131024198734,-0.0011034091652063743
14706.0,81030.95404362731,39.94817285312671,0.008599068003537878
14707.0,81042.11179796078,40.35579310209295,0.01663786039470312
14708.0,81053.26955229424,40.05638620325795,0.022132777185416612
14709.0,81064.42730662771,40.2030968918561,0.025085943455920804
14710.0,81075.58506096118,40.209082413494805,0.025498312863088145
14711.0,81086.74281529465,40.050400681619244,0.023370036215596836
14712.0,81097.90056962811,40.36177862373165,0.0187003818115568
14713.0,81109.05832396158,39.95415837476541,0.011486954486730728
14714.0,81120.21607829505,40.305324720348636,0.0017281435946513426
14715.0,81131.37383262852,40.10685458500227,-0.008511361176785021
14716.0,81142.531586962,40.15262851011178,-0.014272299660367256
14717.0,81153.68934129545,40.259550795239115,-0.015315046165461458
14718.0,81164.84709562892,39.999932299874935,-0.011643006948238489
14719.0,81176.0048499624,40.407552548841174,-0.005862562955948964
14720.0,81187.16260429587,40.00462675650973,-0.0007203524106800046
14721.0,81198.32035862934,40.25485633860432,0.0037766388447636667
14722.0,81209.4781129628,40.15732296674658,0.0076282501163316575
14723.0,81220.63586729627,40.10216012836747,0.01083444739767421
14724.0,81231.79362162974,40.31001917698343,0.013395275324164254
14725.0,81242.95137596321,39.94946391813062,0.015310817164737903
14726.0,81254.10913029667,40.35708416709686,0.01658059725631308
14727.0,81265.26688463014,40.05509513825404,0.01720500201947223
14728.0,81276.04748111436,36.33264112421869,0.017325800282851918
14729.0,81285.38779615148,30.932641124222833,0.017533834442685657
14730.0,81293.22993584556,25.53264112422439,0.017832211830423435
14731.0,81299.5691778301,20.13264112423013,0.018156184648702046
14732.0,81304.4064314656,14.73264112422655,0.018453059859415755
14733.0,81307.74040343912,9.332641124223889,0.01868268233251439
14734.0,81309.51917541985,2.9981253685157356,0.018813631833792047
14735.0,81310.0,0.0,0.01884978432968599
14736.0,81310.0,0.0,0.01884978432968599
14737.0,81310.0,0.0,0.01884978432968599
14738.0,81310.0,0.0,0.01884978432968599
14739.0,81310.0,0.0,0.01884978432968599
14740.0,81310.0,0.0,0.01884978432968599
14741.0,81310.0,0.0,0.01884978432968599
14742.0,81310.0,0.0,0.01884978432968599
14743.0,81310.0,0.0,0.01884978432968599
14744.0,81310.0,0.0,0.01884978432968599
14745.0,81310.0,0.0,0.01884978432968599
14746.0,81310.0,0.0,0.01884978432968599
14747.0,81310.0,0.0,0.01884978432968599
14748.0,81310.0,0.0,0.01884978432968599
14749.0,81310.0,0.0,0.01884978432968599
14750.0,81310.0,0.0,0.01884978432968599
14751.0,81310.0,0.0,0.01884978432968599
14752.0,81310.0,0.0,0.01884978432968599
14753.0,81310.0,0.0,0.01884978432968599
14754.0,81310.0,0.0,0.01884978432968599
14755.0,81310.0,0.0,0.01884978432968599
14756.0,81310.0,0.0,0.01884978432968599
14757.0,81310.0,0.0,0.01884978432968599
14758.0,81310.0,0.0,0.01884978432968599
14759.0,81310.0,0.0,0.01884978432968599
14760.0,81310.0,0.0,0.01884978432968599
14761.0,81310.0,0.0,0.01884978432968599
14762.0,81310.0,0.0,0.01884978432968599
14763.0,81310.0,0.0,0.01884978432968599
14764.0,81310.0,0.0,0.01884978432968599
14765.0,81310.0,0.0,0.01884978432968599
14766.0,81311.52400292402,3.2673588757702605,0.018968138060963244
14767.0,81312.94161167869,8.667358875766393,0.01908167135302567
14768.0,81316.09364440436,14.067358875765729,0.019347779411004292
14769.0,81320.75228552867,19.46735887577032,0.01977458938576631
14770.0,81326.90634723488,24.867358875766506,0.020399365032540823
14771.0,81334.5651921604,30.267358875766593,0.021274426377499565
14772.0,81343.72172219951,35.66735887576052,0.022461913400812165
14773.0,81354.3584753901,40.09942216759836,0.02403492603082176
14774.0,81365.51622972357,40.16006092751569,0.02590840263121496
14775.0,81376.67398405704,40.25211837783522,0.028010523699901757
14776.0,81387.8317383905,40.00736471727883,0.03030396359503855
14777.0,81398.98949272397,40.404814588072064,0.03125641751919716
14778.0,81410.14724705744,39.997194339105825,0.030014403231110636
14779.0,81421.30500139091,40.262288756008225,0.026579849534891932
14780.0,81432.46275572438,40.14989054934268,0.020951793497907566
14781.0,81443.62051005784,40.10959254577137,0.013177256350894714
14782.0,81454.77826439131,40.302586759579526,0.005589279729670633
14783.0,81465.93601872478,39.95689633553452,-0.0004258016466582941
14784.0,81476.74651335427,36.49276975185668,-0.004751045262821707
14785.0,81486.1335840167,31.092769751860892,-0.007309467827013046
14786.0,81494.02132928919,25.692769751863523,-0.008598172633905643
14787.0,81500.40279546457,20.29276975186987,-0.009063361363003172
14788.0,81505.28610334163,14.892769751866362,-0.009072947189591346
14789.0,81508.6596053545,9.492769751862863,-0.00890323105328958
14790.0,81510.0,0.0,-0.008797331939350048
14791.0,81510.0,0.0,-0.008797331939350048
14792.0,81510.0,0.0,-0.008797331939350048
